m,0,1,2,3,4,5,6,7,8,9
2281.7984,-0.056661,-0.002414,-0.04538,-0.171012,-0.054711,-0.046646,-0.035641,-0.067388,0.002395,0.003962
43.052306,31.113863,31.062921,31.199476,30.976952,31.171786,31.203884,31.39251,31.088669,31.144535,31.102221
2301.544,614,750.68,718.8,548.92,556.16,698.68,564.2,736.64,719.72,620.48
43.637251,-0.069493,-0.033895,-0.018439,-0.191568,-0.071956,-0.006051,-0.071817,-0.106501,0.066623,0.008544
2319.912,31.914476,31.816104,31.933845,31.687013,31.93411,31.93497,32.134667,31.818913,31.843532,31.844571
44.227475,630.88,771.52,738.32,561.64,574.4,717.44,582.16,756.12,744.6,638.76
2336.968,-0.078042,-0.029524,-0.088901,-0.210169,0.029714,-0.081286,-0.026343,-0.069732,0.114839,-0.012705
44.822812,32.709712,32.563914,32.660121,32.404267,32.711599,32.658036,32.875281,32.516955,32.537988,32.567076
2352.776,647.88,790.88,758.6,574.28,590.6,737.04,599.72,775.16,768.68,656.52
45.4231,-0.062125,-0.077568,-0.021177,-0.188117,-0.069858,-0.018964,-0.031695,-0.05598,0.105046,-0.025526
2367.3984,33.485543,33.314759,33.39294,33.117749,33.497875,33.355121,33.605059,33.205926,33.225267,33.264825
46.028183,664.68,810.4,778.6,586.84,606.92,755.52,617.4,793.28,792.24,674.04
2380.896,-0.050008,-0.045383,-0.011106,-0.166668,-0.045058,-0.042511,-0.001419,-0.07406,0.121331,-0.001045
46.637908,34.254114,34.036124,34.125333,33.825471,34.286491,34.030927,34.328047,33.887518,33.898371,33.956123
2393.328,680.6,829,798.2,599.6,623.04,772.68,634.88,810.32,814.6,690.52
47.252126,-0.085592,-0.057178,-0.005723,-0.122183,-0.028919,-0.076832,0.010108,-0.091044,0.094461,-0.038589
2404.752,35.002956,34.715094,34.843874,34.534813,35.06022,34.69233,35.015884,34.544852,34.572423,34.648579
47.870694,695.64,846.88,817.6,612.84,637.84,789.48,652.96,826.08,835.52,707.4
2415.224,-0.108044,-0.068168,0.017847,-0.052524,-0.094671,-0.065504,0.078959,-0.114821,0.06858,0.03449
48.493471,35.720131,35.395937,35.542293,35.247919,35.832332,35.334356,35.672628,35.176196,35.230768,35.343124
2424.7984,709.24,864.76,836.32,624.32,654.76,804.68,670.16,841.64,855.68,723.44
49.120323,-0.172514,-0.020381,0.011195,-0.144042,0.066992,-0.121347,0.061158,-0.09197,0.071467,0.025208
2433.528,36.407413,36.075749,36.195301,35.940105,36.609967,35.965857,36.315032,35.773899,35.84092,36.00221
49.751116,723.4,881.52,854.32,635.72,670.36,820,686.52,856.48,874.68,738.68
2441.464,-0.11041,-0.047944,0.025071,-0.111016,0.008298,-0.075433,0.045655,-0.08164,0.05456,0.012604
50.385725,37.065012,36.741029,36.824696,36.578445,37.366959,36.595492,36.923243,36.358997,36.434139,36.625075
