m,0,1,2,3,4,5,6,7,8,9
44.822812,32.516653,32.63901,32.689683,32.524399,32.603476,32.621174,32.658341,32.69085,32.649539,32.666201
2352.776,64.671429,41.571429,41.508571,197.702857,37.14,77.534286,126.228571,69.391429,160.225714,67.26
45.4231,-0.752334,-0.849634,-0.841656,-0.522595,-0.861815,-0.748907,-0.633974,-0.724708,-0.559114,-0.75678
2367.3984,33.247293,33.368377,33.404506,33.258059,33.327621,33.359087,33.393188,33.417135,33.397238,33.395188
46.028183,66.242857,42.542857,42.434286,202.302857,38.082857,79.368571,129.148571,71.422857,164.24,68.98
2380.896,-0.772808,-0.850075,-0.857631,-0.527362,-0.853109,-0.745511,-0.651147,-0.723172,-0.563679,-0.758183
46.637908,33.966048,34.086325,34.104474,33.981267,34.040888,34.093037,34.113597,34.137617,34.127374,34.113295
2393.328,67.751429,43.54,43.411429,206.722857,39.045714,81.145714,132.057143,73.474286,168.14,70.571429
47.252126,-0.773647,-0.841861,-0.844988,-0.534541,-0.844681,-0.746443,-0.640617,-0.713566,-0.555172,-0.769025
2404.752,34.674593,34.793436,34.792901,34.697585,34.743182,34.810799,34.819104,34.8475,34.841728,34.819941
47.870694,69.154286,44.511429,44.282857,211.14,39.851429,82.8,134.871429,75.451429,171.84,72.06
2415.224,-0.782567,-0.841952,-0.856215,-0.516465,-0.865093,-0.756783,-0.639367,-0.713711,-0.566448,-0.7783
48.493471,35.371066,35.490331,35.464502,35.394127,35.432925,35.509275,35.514209,35.538664,35.540409,35.510923
2424.7984,70.574286,45.394286,44.991429,215.345714,40.597143,84.342857,137.542857,77.357143,175.251429,73.56
49.120323,-0.771695,-0.850478,-0.879117,-0.525711,-0.870406,-0.76339,-0.64743,-0.714354,-0.586543,-0.767426
2433.528,36.05147,36.17428,36.115345,36.062701,36.108976,36.186655,36.185955,36.212821,36.224002,36.184866
49.751116,71.917143,46.32,45.791429,219.337143,41.422857,85.802857,140.025714,79.16,178.571429,74.914286
2441.464,-0.776284,-0.83655,-0.85856,-0.529568,-0.850762,-0.769486,-0.659383,-0.717369,-0.5808,-0.78076
50.385725,36.712129,36.834694,36.754691,36.708437,36.764317,36.848787,36.83224,36.864413,36.88778,36.838178
2448.656,73.082857,47.197143,46.588571,223.297143,42.16,87.188571,142.471429,80.871429,181.64,76.228571
51.024025,-0.796314,-0.838521,-0.852486,-0.514605,-0.862488,-0.770411,-0.65075,-0.720444,-0.59688,-0.77654
2455.152,37.343294,37.460225,37.378032,37.337619,37.392723,37.49566,37.450466,37.485336,37.524392,37.466467
51.665896,74.094286,47.931429,47.26,226.9,42.814286,88.405714,144.708571,82.442857,184.657143,77.431429
2460.9984,-0.813931,-0.860113,-0.868722,-0.535035,-0.870105,-0.790225,-0.663375,-0.731451,-0.586199,-0.785612
52.311223,37.944459,38.049107,37.966913,37.942778,37.986742,38.106802,38.035569,38.076127,38.123155,38.062127
2466.24,75.111429,48.642857,47.905714,230.3,43.434286,89.505714,146.911429,83.98,187.474286,78.582857
52.959893,-0.802683,-0.855368,-0.86749,-0.531492,-0.871143,-0.798331,-0.652953,-0.721915,-0.598426,-0.785911
2470.92,38.511106,38.603524,38.514356,38.509409,38.543405,38.665995,38.588426,38.62915,38.678809,38.615992
53.611798,76.025714,49.354286,48.494286,233.5,44.042857,90.68,148.991429,85.411429,190.088571,79.671429
2475.08,-0.811801,-0.846221,-0.871943,-0.532431,-0.86662,-0.774928,-0.648367,-0.727666,-0.602131,-0.785375
54.266833,39.062088,39.141829,39.046206,39.056743,39.082229,39.201939,39.12551,39.164271,39.215365,39.149351
2478.76,76.897143,50,49.04,236.502857,44.657143,91.72,150.9,86.808571,192.54,80.711429
54.924897,-0.809532,-0.85194,-0.874533,-0.53676,-0.856026,-0.787696,-0.659455,-0.719364,-0.60675,-0.781819
2481.9984,39.617005,39.689059,39.583493,39.608882,39.627078,39.74284,39.668955,39.705158,39.759744,39.686101
55.585891,77.754286,50.605714,49.545714,239.405714,45.188571,92.622857,152.64,88.082857,194.814286,81.697143
2484.832,-0.801,-0.853816,-0.876613,-0.521254,-0.866282,-0.80395,-0.672696,-0.72708,-0.611931,-0.779232
56.24972,40.177537,40.244142,40.126334,40.164463,40.179861,40.28943,40.217255,40.252864,40.310693,40.230318
2487.296,78.52,51.205714,50.06,242.265714,45.714286,93.574286,154.302857,89.285714,196.914286,82.625714
56.916294,-0.810736,-0.846875,-0.864697,-0.499956,-0.860038,-0.776479,-0.666997,-0.724489,-0.618422,-0.779822
2489.424,40.746025,40.803742,40.678784,40.725488,40.74004,40.843342,40.772998,40.806073,40.866116,40.78219
57.585523,79.274286,51.677143,50.471429,244.842857,46.142857,94.354286,155.831429,90.425714,198.925714,83.445714
2491.248,-0.800468,-0.870742,-0.88471,-0.516001,-0.879131,-0.807158,-0.670699,-0.720832,-0.60733,-0.792301
58.257323,41.320275,41.364961,41.239314,41.290275,41.303709,41.404078,41.335287,41.362486,41.426518,41.339208
2492.7984,79.914286,52.151429,50.885714,247.331429,46.58,95.08,157.282857,91.437143,200.717143,84.2
58.93161,-0.818682,-0.860722,-0.876065,-0.50135,-0.867057,-0.809329,-0.665246,-0.734717,-0.62867,-0.7958
2494.104,41.897539,41.928712,41.806853,41.858612,41.876125,41.969551,41.902012,41.926031,41.993694,41.905983
59.608306,80.52,52.594286,51.274286,249.537143,47.051429,95.717143,158.565714,92.465714,202.288571,84.922857
2495.192,-0.816203,-0.861313,-0.875849,-0.526678,-0.84658,-0.821038,-0.684066,-0.711994,-0.649965,-0.790158
60.287334,42.48342,42.500311,42.382033,42.429833,42.457187,42.543015,42.480802,42.494194,42.56359,42.478991
2496.088,81.042857,53.008571,51.628571,251.474286,47.431429,96.362857,159.697143,93.422857,203.754286,85.557143
60.968619,-0.830066,-0.860616,-0.877707,-0.548301,-0.867268,-0.80315,-0.704332,-0.713561,-0.644578,-0.806783
2496.816,43.073078,43.079402,42.963384,43.009601,43.042921,43.116705,43.063763,43.065884,43.138007,43.056215
